timestamp,episode,loss,internal_accuracy
1776852314.1022542,0,1.278960561319705,0.8
1776852315.2892933,50,1.278960561319705,0.8
1776852466.1651504,0,1.3230299400466103,0.8
1776852468.2396936,50,1.3230299400466103,0.8
1776852472.2248054,100,1.3230299400466103,0.8
1776852474.5554066,150,1.3230299400466103,0.8
1776852477.3466127,200,1.3230299400466103,0.8
1776852479.3740547,250,1.3230299400466103,0.8
1776852482.6223216,300,1.3230299400466103,0.8
1776852485.0482302,350,1.3230299400466103,0.8
1776852487.8580134,400,1.3230299400466103,0.8
1776852489.8517466,450,1.3230299400466103,0.8
1776852492.6543853,500,1.3230299400466103,0.8
1776852495.0041811,550,1.3230299400466103,0.8
1776852497.1069489,600,1.3230299400466103,0.8
1776852500.593729,650,1.3230299400466103,0.8
1776852503.1899524,700,1.3230299400466103,0.8
1776852505.0068853,750,1.3230299400466103,0.8
1776852507.8308175,800,1.3230299400466103,0.8
1776852510.9522314,850,1.3230299400466103,0.8
1776852513.5008583,900,1.3230299400466103,0.8
1776852516.5077784,950,1.3230299400466103,0.8
